DOMAIN	ACCESSION	Exophiala_alcalophila	Exophiala_crusticola	Exophiala_lecanii-corni	Exophiala_mesophila	Exophiala_sideris	Exophiala_spinifera	Exophiala_viscosa	Exophiala_xenobiotica
Ribosomal_S5_C	PF03719.20	2	1	2	2	2	2	2	2
tRNA-synt_1_2	PF13603.11	2	2	2	1	2	2	2	2
AMP_N	PF05195.21	2	2	2	2	2	2	1	2
Glyco_hydro127M	PF20736.2	0	0	1	0	6	1	2	5
mRNA_G-N7_MeTrfase	PF03291.21	1	0	2	1	3	3	2	2
zf-4CXXC_R1	PF10497.14	2	1	2	2	2	2	2	2
Translin	PF01997.21	2	2	2	2	2	1	2	2
Transketolase_C_1	PF22613.1	1	4	2	1	2	3	1	1
P5CR_dimer	PF14748.11	1	1	3	3	2	1	2	2
PH_10	PF15411.11	2	2	2	2	2	2	2	1
DEAD_2	PF06733.20	1	2	2	2	2	2	2	2
Ribosomal_L11_N	PF03946.19	2	2	1	2	2	2	2	2
FAD_binding_5	PF00941.26	1	1	2	2	2	2	2	2
UPF0016	PF01169.24	1	1	1	0	1	1	1	1
XRN_N	PF03159.23	1	2	2	2	1	2	2	2
MoCoBD_1	PF02738.23	1	1	2	2	2	2	2	2
Chorismate_bind	PF00425.23	1	1	2	2	2	2	2	1
TFIIIC_delta	PF12657.12	1	1	1	1	1	1	1	1
Ribosomal_S7	PF00177.26	2	1	2	2	2	2	2	1
E1_DerP2_DerF2	PF02221.20	1	2	2	1	2	3	2	1
Cdc6-ORC-like_ATPase_lid	PF22606.1	1	1	2	2	2	2	2	2
Eap1	PF20566.3	1	1	1	0	1	1	1	1
CHORD	PF04968.17	1	1	1	1	1	0	1	1
Glyco_hydro_28	PF00295.22	1	1	0	0	3	0	4	3
OB_Dis3	PF17849.6	2	1	2	1	2	2	2	2
ArAE_2_N	PF10337.14	0	2	1	1	3	2	3	2
FDF	PF09532.15	1	2	2	1	2	2	2	2
Alk_phosphatase	PF00245.25	2	1	2	2	3	2	1	1
CENP-N	PF05238.18	1	1	1	1	1	1	1	1
DUF726	PF05277.17	2	1	3	2	3	3	0	0
BIR	PF00653.26	0	1	1	1	1	1	1	1
LplA-B_cat	PF21948.1	1	2	1	2	2	1	2	2
ArsA_ATPase	PF02374.20	2	2	2	1	2	1	2	1
DAGK_cat	PF00781.29	2	2	2	2	1	1	2	2
Nexin_C	PF08628.17	2	2	2	2	1	1	2	2
Flavokinase	PF01687.22	2	1	2	1	2	2	2	2
Sec2p	PF06428.16	2	2	2	2	1	1	2	2
Succ_CoA_lig	PF13607.11	2	2	1	2	1	2	1	3
XRN_M	PF17846.6	1	2	2	2	1	2	2	2
LCM	PF04072.19	2	2	2	2	2	1	2	1
Kelch_6	PF13964.11	1	1	2	1	3	1	2	1
Sortilin-Vps10	PF15902.10	1	1	1	1	1	0	1	1
Phosducin	PF02114.21	2	2	2	1	2	1	2	2
TFIIS_M	PF07500.19	2	1	2	2	2	2	1	2
KAsynt_C_assoc	PF16197.10	1	0	2	0	1	3	2	5
DNA_pol_B_thumb	PF14791.11	1	2	2	2	2	1	2	2
MRP-L20	PF12824.12	1	1	2	2	2	2	2	2
CO_deh_flav_C	PF03450.22	1	1	2	2	2	2	2	2
Thr_dehydrat_C	PF00585.23	1	1	1	1	1	0	1	1
DUF815	PF05673.18	2	2	2	1	2	2	2	1
Glyco_hydro_2_C	PF02836.22	1	1	4	0	2	2	1	3
NAT	PF04768.18	2	2	2	2	2	0	2	2
Glyco_hydro_64	PF16483.10	1	3	1	1	1	3	1	3
Lactamase_B_6	PF16661.10	2	1	2	1	2	2	2	2
OST3_OST6	PF04756.18	2	2	3	1	1	2	1	2
CT_C_D	PF02682.21	2	2	1	1	2	2	2	2
Peptidase_M3	PF01432.25	2	2	2	1	2	1	2	2
ATG14	PF10186.14	2	2	2	2	2	1	2	1
DNA_pol_B_palm	PF14792.11	1	2	2	2	2	1	2	2
ThrE	PF06738.17	1	0	1	2	2	2	2	3
Ald_Xan_dh_C	PF01315.27	1	1	2	2	2	2	2	2
AMP_deaminase	PF19326.4	2	1	3	1	2	2	2	1
Patched	PF02460.23	1	2	1	2	1	1	1	1
MGS	PF02142.27	2	2	2	2	1	1	2	2
Sortilin_C	PF15901.10	1	1	1	1	1	0	1	1
TGS	PF02824.26	2	1	2	2	3	1	1	2
Metallophos_2	PF12850.12	2	1	2	1	2	2	2	2
DNA_pol_lambd_f	PF10391.14	1	2	2	2	2	1	2	2
Prok-JAB	PF14464.11	2	1	2	2	2	2	2	1
PTP-NADK	PF22741.1	1	2	2	1	2	2	2	2
DUF4449	PF14613.11	1	2	2	2	2	1	1	3
Monooxy_af470-like	PF13826.11	2	1	2	2	2	1	2	2
Beta-Casp	PF10996.13	2	1	2	1	2	2	2	2
Opi1	PF08618.15	1	1	1	1	1	1	0	1
CPSase_sm_chain	PF00988.27	1	2	2	2	2	1	2	2
Glyco_hydro_1	PF00232.23	1	2	2	2	2	2	1	1
Dicty_CAR	PF05462.16	3	0	2	1	2	2	1	3
HHH_8	PF14716.11	1	2	2	2	2	1	2	2
Glyco_hydro_20	PF00728.27	2	1	2	2	1	2	2	2
BetaGal_ABD2	PF13364.11	0	0	0	0	2	1	2	2
zf-C4pol	PF14260.11	2	2	2	1	1	2	2	2
Rttp106-like_middle	PF08512.17	0	3	3	2	1	2	2	1
Spermine_synth	PF01564.22	2	2	1	2	1	2	2	2
MMS19_C	PF12460.13	2	2	2	1	1	2	2	2
SesA	PF17107.10	3	6	0	0	0	3	0	2
MetW	PF07021.17	2	0	1	1	2	3	1	4
DCB	PF16213.10	2	1	2	2	1	2	2	2
HTH_Tnp_Tc5	PF03221.21	1	1	3	1	1	2	2	3
AFG1_ATPase	PF03969.21	1	1	2	1	1	2	1	2
GST_N_4	PF17172.9	1	1	1	0	3	2	3	3
OCD_Mu_crystall	PF02423.20	1	2	1	1	2	2	1	4
Saf4_Yju2	PF04502.18	2	2	2	1	2	1	2	2
OTCace	PF00185.29	2	1	2	2	2	1	2	2
GTP-eEF1A_C	PF22594.1	1	1	3	1	2	2	2	2
UDG	PF03167.24	1	2	2	2	2	1	2	2
SNF	PF00209.23	2	0	3	3	0	0	0	1
IQ	PF00612.32	1	1	2	2	1	2	2	1
Ala_racemase_N	PF01168.25	1	1	1	2	3	2	2	2
DIL	PF01843.24	2	2	1	2	2	2	2	1
OTCace_N	PF02729.26	2	1	2	2	2	1	2	2
DHQ_synthase	PF01761.25	1	2	2	1	2	2	2	2
6PGD	PF00393.24	1	2	2	1	2	2	2	2
AAA_lid_9	PF17871.6	1	2	2	1	2	2	2	2
Ribosomal_S8	PF00410.24	2	2	1	2	2	2	2	1
TRM	PF02005.21	1	1	1	1	1	0	1	1
CwfJ_C_2	PF04676.19	2	2	2	1	1	2	2	2
GT4-conflict	PF20706.2	2	1	2	1	2	2	2	2
Alpha-L-AF_C	PF06964.17	2	1	2	1	2	2	2	2
Sybindin	PF04099.17	2	1	2	1	2	2	2	2
Prefoldin	PF02996.22	2	2	2	2	2	1	2	1
Glycos_transf_3	PF00591.26	1	1	1	1	1	0	1	1
ADC	PF06314.16	3	2	1	2	1	1	2	2
Peptidase_C26	PF07722.18	2	1	2	1	2	1	2	2
tRNA_int_endo	PF01974.22	2	2	1	1	2	1	2	2
RMI1_N_C	PF08585.17	1	0	1	1	1	1	1	1
ULD_2	PF22893.1	1	0	3	1	2	3	1	2
Skp1_POZ	PF03931.20	2	2	3	1	1	2	1	1
Amidoligase_2	PF12224.13	1	1	1	0	3	2	0	4
MipZ	PF09140.16	2	1	2	2	2	1	2	1
PGAP1	PF07819.18	1	2	2	1	1	1	1	3
BAR_4	PF20400.3	2	1	2	2	1	2	1	2
LMBR1	PF04791.21	2	2	1	2	2	2	2	0
RMMBL	PF07521.17	2	1	2	1	2	2	2	1
OsmC	PF02566.24	1	1	2	2	2	1	2	2
Flavoprotein	PF02441.24	1	1	2	1	1	4	1	2
Flavodoxin_2	PF02525.22	0	0	1	1	1	4	3	3
GO-like_E_set	PF09118.16	2	2	1	2	2	1	1	2
Seryl_tRNA_N	PF02403.27	2	2	2	2	1	2	1	1
NUC153	PF08159.17	1	2	2	1	2	2	2	1
Anth_synt_I_N	PF04715.18	1	1	2	2	2	2	2	1
PDS5	PF20168.3	2	1	1	2	2	2	2	1
Pol_BBD	PF22936.1	1	2	2	2	1	2	1	2
MMR_HSR1_Xtn	PF16897.10	2	1	1	2	2	2	1	2
SLC12	PF03522.20	0	1	1	1	1	1	1	1
VASt	PF16016.10	1	2	2	1	2	2	2	1
Ribosomal_S19	PF00203.26	2	2	1	1	1	2	2	2
Sec10_HB	PF07393.16	1	1	1	2	2	2	2	2
DUF2985	PF11204.13	2	1	2	2	1	2	2	1
DHH	PF01368.25	1	2	2	2	2	1	2	1
Pro_dh	PF01619.23	1	1	3	2	2	1	1	2
UPF0029	PF01205.24	1	2	1	2	2	2	2	1
DUF5127	PF17168.9	1	1	1	1	3	1	3	2
RNA_pol_L_2	PF13656.11	2	1	2	1	2	2	2	1
Hexapep_2	PF14602.11	1	1	1	1	3	3	2	1
Pex14_N	PF04695.18	2	2	1	2	2	0	2	2
APG12	PF04110.18	1	2	2	2	2	1	2	1
EPL1	PF10513.14	2	2	2	2	2	1	1	1
zf-C2H2_6	PF13912.11	2	1	3	1	2	1	2	1
PrpF	PF04303.18	1	1	2	3	1	3	1	1
FumaraseC_C	PF10415.14	2	1	1	3	1	1	2	2
DUF1965	PF09248.15	2	0	2	3	1	3	1	1
PPR_long	PF17177.9	2	1	1	0	2	2	2	2
Phos_pyr_kin	PF08543.17	1	2	2	1	2	1	2	1
DENN	PF02141.26	2	1	2	1	1	2	2	2
MPAB_Lcp_cat	PF09995.14	1	1	4	2	1	2	1	1
ATG17_like	PF04108.17	1	2	2	2	2	1	2	1
RCF1-5-like_lid	PF21960.1	1	2	1	1	3	1	2	2
Pex24p	PF06398.16	1	2	1	1	2	2	2	2
zf-CCCH_4	PF18044.6	1	2	1	1	2	3	2	1
SNF5	PF04855.17	0	2	1	2	2	2	2	2
Sfi1	PF08457.15	1	0	1	1	1	0	1	1
RNase_H	PF00075.29	2	2	1	2	0	2	1	3
HIRAN	PF08797.16	2	2	2	2	2	1	1	1
Peptidase_S41	PF03572.23	2	2	2	2	1	2	1	1
CDC48_2	PF02933.22	2	1	2	2	1	2	1	2
DUF3074	PF11274.13	1	2	2	2	2	0	2	2
FGE-sulfatase	PF03781.21	1	1	1	1	1	1	1	1
Ribosomal_S13	PF00416.27	2	2	1	2	2	1	2	1
PHD_5	PF20826.2	2	1	2	2	2	1	1	2
Bac_rhamnosid6H	PF17389.7	2	0	4	0	2	1	1	3
Glycohydro_20b2	PF14845.11	2	1	2	2	1	2	2	1
Rad4	PF03835.20	1	1	3	1	1	1	2	3
KGG	PF10685.14	0	1	1	0	1	0	1	1
DUF6536	PF20163.3	1	1	3	2	2	0	2	2
GATase_3	PF07685.19	2	2	2	1	1	1	2	2
Pyrid_ox_like	PF16242.10	1	2	2	1	2	1	2	2
GATase_4	PF13230.11	2	2	1	1	2	1	2	2
SDH_C	PF18317.6	1	1	1	1	2	4	1	2
DUF829	PF05705.19	2	2	1	2	1	2	1	2
Ins_P5_2-kin	PF06090.17	1	1	1	1	1	1	1	1
Rad9	PF04139.18	2	2	1	1	2	2	2	1
PH_20	PF20399.3	2	1	2	2	1	2	1	2
S1-P1_nuclease	PF02265.21	2	2	1	0	2	2	2	2
BAR_3	PF16746.10	1	2	2	2	2	2	2	0
NAD_synthase	PF02540.22	2	2	2	2	2	1	1	1
PQQ_2	PF13360.11	2	1	1	1	2	1	1	2
MA3	PF02847.22	1	2	1	1	2	2	2	2
PseudoU_synth_1	PF01416.25	2	1	2	2	2	1	2	1
BPL_LplA_LipB	PF03099.24	1	1	2	2	2	1	2	2
MRS2-like	PF22099.1	1	2	1	2	2	2	2	1
RLI	PF04068.20	2	1	2	1	1	2	2	1
GRASP55_65	PF04495.19	2	1	2	2	1	2	1	1
GYF	PF02213.21	1	2	2	1	1	2	2	1
uDENN	PF03456.23	2	1	2	1	1	1	2	2
PIG-U	PF06728.18	1	2	1	1	2	1	2	2
PXB	PF12828.12	1	2	1	2	1	1	2	2
Sad1_UNC	PF07738.18	0	1	2	1	2	2	2	2
RrnaAD	PF00398.25	1	1	2	2	2	1	1	2
Ku	PF02735.21	1	2	1	2	2	2	1	1
PRKCSH	PF07915.18	1	1	2	1	2	2	2	1
FolB	PF02152.23	1	1	1	1	1	1	1	1
PMI_typeI_C	PF01238.26	1	2	2	1	1	1	2	2
BMT5-like	PF10354.14	0	1	1	1	1	1	1	0
Fer2_2	PF01799.25	1	1	1	2	1	2	2	2
Inhibitor_I9	PF05922.21	3	1	3	1	1	1	1	1
NOP5NT	PF08156.18	1	1	2	2	2	2	1	1
CLIP1_ZNF	PF16641.10	0	1	1	1	1	1	1	1
AAA_lid_7	PF17867.6	0	0	0	1	0	1	1	1
DUF4048	PF13257.11	1	1	1	1	1	1	1	1
PHD_2	PF13831.11	1	2	2	2	1	1	2	1
zf-U1	PF06220.17	2	1	0	1	2	2	2	2
Thioredoxin_7	PF13899.11	1	2	1	2	2	2	1	1
Allantoicase	PF03561.20	0	0	1	1	1	1	1	1
SPC22	PF04573.17	1	0	1	1	1	0	1	1
KTI12	PF08433.15	2	1	0	1	2	1	2	1
POT1	PF02765.22	1	1	0	2	2	2	2	2
ACT_9	PF22468.1	2	1	1	1	2	1	2	2
Molybdopterin	PF00384.27	1	2	1	1	2	1	2	1
Vps39_2	PF10367.14	1	1	2	0	2	2	2	2
Thioesterase	PF00975.25	2	1	1	0	2	1	2	3
Misat_Tub_SegII	PF10644.14	2	1	1	2	1	2	2	1
GARS_A	PF01071.24	1	2	2	1	2	1	2	1
Rad21_Rec8_N	PF04825.18	1	1	2	1	2	1	2	2
Methyltransf_33	PF10017.14	1	1	1	2	2	1	2	2
CIA30	PF08547.17	0	2	2	2	1	2	2	1
Gar1	PF04410.19	1	2	2	2	0	2	1	2
Cyto_heme_lyase	PF01265.22	1	1	2	2	2	1	1	2
EXOSC1	PF10447.14	1	1	1	1	1	1	1	1
EutQ	PF06249.17	1	2	1	2	1	2	2	1
Ribosomal_S4	PF00163.24	1	2	2	1	2	1	2	1
ZUO1-like_ZHD	PF21884.1	1	1	2	2	1	2	2	1
Hva1_TUDOR	PF11160.13	0	1	2	0	2	2	2	3
Ku_N	PF03731.20	1	2	1	2	2	2	1	1
HR1	PF02185.21	1	1	1	1	2	2	1	1
Las1	PF04031.18	1	1	1	1	1	1	1	1
Creatinase_N	PF01321.23	1	1	1	1	3	1	2	2
C1_1	PF00130.27	1	1	1	1	2	2	1	1
DUF3112	PF11309.13	1	1	1	0	1	1	1	2
Ribosomal_L24e	PF01246.25	2	1	0	2	2	2	1	2
zf-MYST	PF17772.6	2	1	1	1	2	2	2	1
Yip1	PF04893.22	2	1	1	1	2	2	2	1
RPN2_N	PF21505.2	0	1	1	1	1	0	1	1
Pal1	PF08316.16	1	2	2	2	1	2	1	1
ATP-grasp_2	PF08442.15	1	3	1	1	1	2	1	2
Enolase_N	PF03952.21	1	1	1	2	3	1	1	2
NTF2	PF02136.25	1	1	1	2	2	2	1	2
TPR_6	PF13174.11	1	2	3	1	1	2	1	1
Het-C	PF07217.16	2	0	1	1	1	1	2	1
KH_1_3	PF22675.1	2	1	2	1	1	2	1	2
SnoaL_3	PF13474.11	0	1	4	0	3	0	3	1
eIF-5a	PF01287.25	1	1	2	2	2	1	2	1
Enolase_C	PF00113.27	1	1	1	2	3	1	1	2
MMM1	PF10296.14	2	1	1	2	2	2	1	1
AWS	PF17907.6	2	2	2	1	1	1	2	1
GAF_2	PF13185.11	1	0	2	2	1	2	2	2
Cnn_1N	PF07989.16	1	1	2	2	1	1	2	2
DUF1688	PF07958.16	2	1	1	1	1	2	2	1
DALR_1	PF05746.20	1	2	1	1	2	1	2	2
Metalloenzyme	PF01676.23	1	2	2	1	1	2	1	1
PRMT5	PF05185.21	1	1	2	1	1	0	0	1
5_nucleotid_C	PF02872.23	2	1	2	2	1	1	1	1
Lectin_leg-like	PF03388.19	1	1	1	2	2	1	2	1
ArAE_2	PF10334.14	0	0	1	0	3	2	3	2
Suc_Fer-like	PF06999.17	1	2	2	0	2	1	1	2
Sulf_transp	PF04143.19	1	1	1	1	1	2	1	3
FTR1	PF03239.19	2	1	1	2	1	2	1	1
Palm_thioest	PF02089.20	1	1	1	2	2	1	2	1
Peroxidase_2	PF01328.22	0	2	1	0	0	2	0	6
GTP_CH_N	PF12471.13	2	1	1	1	1	2	2	1
BET	PF17035.10	1	2	2	1	1	1	2	1
But2	PF09792.14	2	2	1	1	1	1	1	2
Glyco_hydro_32C	PF08244.18	3	1	1	1	1	2	1	1
Nramp	PF01566.23	2	1	3	1	1	0	1	2
CARME	PF07942.17	1	1	2	2	1	1	1	2
RRM_occluded	PF16842.10	1	1	1	2	1	1	1	1
Peptidase_S26	PF10502.14	2	1	1	0	2	1	2	2
Scytalone_dh	PF02982.19	2	2	1	1	1	2	1	1
IBR_2	PF22605.1	1	2	1	1	0	2	1	3
Methyltransf_PK	PF05891.17	1	1	1	1	1	1	1	0
PRP1_N	PF06424.17	1	0	1	1	1	1	1	1
L51_S25_CI-B8	PF05047.21	2	1	1	1	1	2	1	2
EF-hand_9	PF14658.11	2	1	2	1	2	1	1	1
DUF1771	PF08590.15	2	1	2	1	1	1	2	1
PDEase_II	PF02112.20	1	0	1	1	1	1	1	0
Lon_C	PF05362.18	2	0	0	1	2	2	2	2
CRC_subunit	PF08624.15	1	1	2	1	1	2	1	2
SAC3_GANP	PF03399.21	1	1	1	1	2	1	2	1
Pro_racemase	PF05544.16	1	1	1	1	2	1	3	1
Kdo	PF06293.19	1	1	4	1	1	1	0	2
SHS2_Rpb7-N	PF03876.22	1	2	1	2	1	1	1	2
Rad21_Rec8	PF04824.21	2	1	1	1	1	1	2	2
EXOC6_Sec15_N	PF20651.2	1	1	2	1	2	1	2	1
Nup160	PF11715.13	2	1	2	1	2	1	1	1
TAL_FSA	PF00923.24	1	1	1	1	1	2	1	3
NAC	PF01849.23	2	1	2	2	0	1	2	1
Sas10_Utp3	PF04000.20	2	1	1	2	2	1	0	2
NLE	PF08154.17	1	2	1	1	2	1	1	2
NFACT-R_1	PF05670.18	2	0	1	1	2	1	2	2
Dak1	PF02733.22	1	2	2	1	1	2	1	1
Cutinase	PF01083.27	2	1	2	3	0	2	0	1
PITH	PF06201.18	2	2	1	1	1	2	1	1
Cauli_VI	PF01693.21	1	2	0	1	0	0	1	1
SLATT_fungal	PF18142.6	2	2	1	1	2	1	1	1
Y_phosphatase2	PF03162.18	1	1	2	1	2	1	2	1
Ribosomal_L28e	PF01778.22	2	1	2	2	1	1	1	1
PIR1-like_C	PF22799.1	1	2	2	1	1	1	2	0
Lon_lid	PF22667.1	2	0	0	1	2	2	2	2
RIO1	PF01163.27	2	0	3	0	1	1	2	2
PH_5	PF15405.11	1	1	2	1	1	1	2	2
SPT_ssu-like	PF11779.13	2	0	2	2	1	2	1	1
PTP-SAK	PF22784.1	1	1	2	0	1	2	3	1
zf-CSL	PF05207.18	0	2	2	2	2	1	1	1
Sua5_yciO_yrdC	PF01300.23	1	0	2	1	1	2	1	3
Haspin_kinase	PF12330.13	1	0	1	1	2	2	2	2
MDM10	PF12519.13	0	1	1	1	1	1	1	1
CAF1C_H4-bd	PF12265.13	1	2	1	1	1	2	1	2
ThrE_2	PF12821.12	2	0	0	2	1	2	1	3
RL10P_insert	PF17777.6	1	1	2	1	2	1	1	2
Peptidase_M14	PF00246.29	1	1	2	3	1	1	1	1
W2	PF02020.23	2	1	1	1	0	2	2	2
TENA_THI-4	PF03070.21	1	1	2	1	2	1	2	1
TFIIS_C	PF01096.23	2	1	2	1	2	1	1	1
ARMT1-like_dom	PF01937.24	1	1	1	1	1	2	1	3
GARS_C	PF02843.21	1	2	2	1	2	1	1	1
SurE	PF01975.22	2	2	1	0	1	2	1	2
Ribosomal_L5	PF00281.24	2	1	2	2	1	1	1	1
DUF6601	PF20246.3	0	1	3	0	2	1	1	3
Methyltransf_9	PF08003.16	1	2	0	0	3	2	2	1
Glyoxal_oxid_N	PF07250.16	2	1	2	2	1	1	1	1
IATP	PF04568.17	1	2	1	2	2	1	1	1
K_trans	PF02705.21	1	1	1	0	2	1	2	1
NADAR	PF08719.16	0	2	1	1	3	0	3	1
Amdase	PF17645.6	1	1	0	1	1	3	2	2
Ribosomal_L10	PF00466.25	1	1	2	1	2	1	1	2
NAD_binding_3	PF03447.21	1	2	2	2	1	1	1	1
DUF6590	PF20233.3	1	0	1	0	2	3	2	2
Bles03	PF08939.15	2	1	1	1	2	0	2	1
Rotamase	PF00639.26	1	1	2	1	2	1	2	1
Smr	PF01713.26	2	1	2	1	1	1	2	1
Rotamase_3	PF13616.11	1	1	2	1	2	1	2	1
GARS_N	PF02844.20	1	2	1	1	2	1	2	1
Ribonuclease_T2	PF00445.23	1	0	2	1	2	1	2	1
UDPG_MGDP_dh_C	PF03720.20	1	1	1	1	1	1	2	2
TPMT	PF05724.16	1	1	2	1	1	1	1	2
YCII	PF03795.19	2	1	1	1	1	1	1	2
zf-ANAPC11	PF12861.12	1	3	1	1	0	2	1	1
Trp_syntA	PF00290.25	1	3	1	1	1	1	1	1
Acetyltransf_2	PF00797.22	2	1	1	1	1	2	1	1
CDC37_M	PF08565.16	0	1	1	1	2	2	1	2
BAR_2	PF10455.14	1	1	1	2	1	1	1	2
GLTP	PF08718.16	2	1	1	1	1	2	1	1
CHCH	PF06747.18	3	2	0	0	2	1	1	1
Glyco_hydro38C2	PF17677.6	1	1	1	1	2	1	1	2
Polyketide_cyc	PF03364.25	1	2	1	1	1	1	1	2
MutL_C	PF08676.16	1	1	1	1	1	2	2	1
MitMem_reg	PF13012.11	0	1	2	2	2	1	1	1
DUF2237	PF09996.14	1	1	1	2	1	1	1	2
DUF1264	PF06884.16	1	1	1	1	1	1	1	3
PARP	PF00644.25	1	2	2	1	1	1	1	1
RIBIOP_C	PF04950.17	0	1	1	2	2	0	2	2
zf_UBZ	PF18439.6	1	1	2	1	1	1	2	1
U6-snRNA_bdg	PF10596.14	1	1	1	1	1	1	1	0
Abhydro_lipase	PF04083.21	0	1	2	1	2	2	2	0
dsrm	PF00035.31	2	1	1	2	1	1	1	1
GrpB	PF04229.19	1	1	2	2	0	2	0	2
SCP2	PF02036.22	2	1	1	2	1	1	1	1
FNIP_N	PF14636.11	1	1	1	1	1	1	1	1
Tyrosinase_C	PF18132.6	0	2	2	1	1	1	1	2
Glyco_tran_28_C	PF04101.21	1	1	1	1	1	2	1	2
2EXR	PF20150.4	2	0	1	0	4	0	3	0
Peptidase_M49	PF03571.20	2	1	1	2	1	1	1	1
Glyoxalase_3	PF13468.11	1	1	1	1	1	1	2	2
Glyco_hydro_2_N	PF02837.23	1	1	3	0	1	1	1	2
SFM1-like	PF04252.18	1	1	1	1	1	1	1	1
AtaL	PF08982.16	1	2	2	1	1	1	1	1
FAS1_thioest_ins	PF22235.1	1	1	1	1	1	1	2	2
Sec5	PF15469.11	1	1	1	0	2	1	2	2
He_PIG	PF05345.17	0	1	1	1	1	1	1	1
Ig_mannosidase	PF17753.6	2	0	1	0	3	1	2	1
AARP2CN	PF08142.17	0	1	1	2	2	0	2	2
Asp_protease_2	PF13650.11	1	1	1	1	1	3	1	1
B56	PF01603.25	1	1	1	1	1	1	1	1
Fe-S_biosyn	PF01521.25	1	0	1	1	2	2	2	1
gag-asp_proteas	PF13975.11	1	1	1	1	1	2	1	2
Fas1-AflB-like_hel	PF08354.15	1	1	1	1	1	1	2	2
Far-17a_AIG1	PF04750.19	2	1	0	1	2	0	2	2
CENP-S	PF15630.11	1	1	2	1	1	1	1	2
FAS_meander	PF17951.6	1	1	1	1	1	1	2	2
Glyco_hydro_63N	PF16923.10	1	1	2	2	1	1	1	1
Dak2	PF02734.22	1	2	1	1	1	2	1	1
ArsB	PF02040.20	0	0	1	0	2	2	2	2
PRP4	PF08799.16	1	2	2	1	1	1	1	1
FAS_N	PF17828.6	1	1	1	1	1	1	2	2
Carb_anhydrase	PF00194.26	2	1	2	2	0	2	0	1
Init_tRNA_PT	PF04179.17	1	1	2	1	1	2	1	1
Trehalase	PF01204.23	1	1	1	1	2	1	1	1
Mto2_bdg	PF12808.12	0	0	1	1	1	0	1	1
Cmc1	PF08583.15	1	1	0	2	2	1	2	1
Sterol_MT_C	PF08498.15	1	1	1	1	1	2	1	2
Glyco_hydro_38C	PF07748.18	1	1	1	1	2	1	1	2
Alpha-mann_mid	PF09261.16	1	1	1	1	2	1	1	2
Sdh_cyt	PF01127.27	1	1	1	1	2	1	2	1
Luciferase	PF17648.6	2	1	1	1	1	2	1	1
RPC5	PF04801.18	1	2	1	1	1	1	1	1
IlvN	PF07991.17	1	1	1	1	2	1	2	1
Autophagy_act_C	PF03987.20	1	1	1	1	2	1	1	2
Glyco_hydro_88	PF07470.18	1	1	1	0	2	1	2	2
SWIB	PF02201.23	2	1	1	2	1	1	1	1
DUF1720	PF08226.16	1	1	1	0	2	1	2	1
eIF-5_eIF-2B	PF01873.22	1	2	1	1	1	1	2	1
GalKase_gal_bdg	PF10509.14	1	1	1	2	1	2	1	1
RraA-like	PF03737.20	2	1	1	1	0	2	1	2
TruB_N	PF01509.23	1	1	2	1	1	2	1	1
Elf1	PF05129.18	1	1	1	1	2	1	2	1
Ribul_P_3_epim	PF00834.24	1	1	1	1	1	1	1	1
XMAP215_CLASP_TOG	PF21041.2	1	0	1	0	1	1	0	1
CHRD	PF07452.17	1	1	3	2	1	1	0	1
Peptidase_M76	PF09768.14	1	1	1	1	1	1	1	1
UIM	PF02809.25	0	0	1	2	1	0	1	2
Glyco_hydro_38N	PF01074.27	1	1	1	1	2	1	1	2
Rit1_C	PF17184.9	1	1	1	1	1	1	1	1
Jacalin	PF01419.22	1	1	2	0	1	2	1	1
AOX	PF01786.22	1	1	1	1	1	1	1	2
Trypsin_2	PF13365.11	1	1	1	1	1	2	1	1
CRT10	PF08728.15	1	1	1	1	1	0	1	0
Evr1_Alr	PF04777.18	2	1	1	1	1	1	1	1
Ribosomal_S26e	PF01283.24	1	1	1	1	1	1	1	1
UvrD_C_2	PF13538.11	1	2	1	1	1	1	1	1
Methyltransf_15	PF09445.15	0	1	1	1	2	1	2	1
Macro	PF01661.26	1	1	1	1	2	1	1	1
Bac_rhamnosid_C	PF17390.7	1	0	2	0	2	1	1	2
tRNA-synt_2c	PF01411.24	0	1	1	1	2	1	2	1
BUD22	PF09073.15	1	1	1	1	1	0	1	1
IPK	PF03770.21	1	1	2	1	1	1	1	1
ArgoL1	PF08699.15	1	1	2	1	1	1	1	1
DPPIV_N	PF00930.26	1	1	2	1	1	1	1	1
Vps54_N	PF10475.14	1	1	1	2	1	1	2	0
Mob_synth_C	PF06463.18	1	1	1	1	1	2	1	1
RimK	PF08443.16	1	1	1	1	1	2	1	1
Ribosomal_L27	PF01016.24	1	1	1	1	1	1	1	1
DUF6914	PF21858.1	1	0	2	1	1	2	1	1
mRNA_triPase	PF02940.20	1	1	1	1	1	1	1	1
CinA	PF02464.22	1	1	2	1	1	1	1	1
AAA_25	PF13481.11	1	1	1	1	2	1	1	1
Cupin_5	PF06172.16	1	1	2	0	1	1	1	2
PAN_4	PF14295.11	0	0	1	0	1	1	0	1
Rot1	PF10681.14	1	1	1	1	1	1	1	1
IlvC	PF01450.24	1	1	1	1	1	1	2	1
Med17	PF10156.14	1	1	1	1	1	1	1	1
OMPdecase	PF00215.29	1	1	1	1	1	1	2	1
ChaC	PF04752.17	1	1	1	1	1	1	1	1
Endosulfine	PF04667.22	1	1	1	2	1	1	1	1
